"","Length","Width","L.Syc","L.Ovary","R.Syc","R.Ovary","Ostiole"
"site_70_tree_1A",1.46225,0.996285714285714,0.17,0.162888888888889,0.192175,0.155830188679245,0.154416666666667
"site_70_tree_1B",1.24475,0.100142857142857,0.163625,0.168722222222222,0.14795,0.160622641509434,0.95
"site_70_tree_4",0.1565,0.160571428571429,0.17875,0.160222222222222,0.161375,1.22958333333333,0.892
"site_70_tree_8",0.20025,0.105571428571429,0.15575,0.140166666666667,1.47575471698113,1.03075,0.137
"site_70_tree_58",0.14025,0.148571428571429,0.119375,1.4733,1.15750943396226,0.12725,0.139
"site_70_tree_59",0.202,0.116142857142857,1.33055555555556,1.268725,0.173471698113208,0.148416666666667,0.136
"site_70_tree_85",0.146,1.242375,1.23605555555556,0.207125,0.153339622641509,0.142416666666667,0.193
"site_70_tree_56",1.05371428571429,1.318875,0.168,0.151225,0.181584905660377,0.137666666666667,0.075
"site_96_tree_63A",1.2244,0.1238,0.157388888888889,0.188045454545455,0.166533333333333,0.141,1.54125
"site_96_tree_126",1.1091,1.35813888888889,0.142194444444444,0.146659090909091,0.192866666666667,0.1471,0.19075
"site_96_tree_127",0.1218,1.26888888888889,1.45929545454545,0.167295454545455,0.169066666666667,0.147966666666667,0.1875
"site_96_tree_49",0.1788,0.180027777777778,1.21461363636364,1.53423333333333,0.153266666666667,0.139533333333333,0.187714285714286
"site_96_tree_29",0.1231,0.1625,0.194295454545455,1.2264,1.222,0.1495,0.201928571428571
"site_96_tree_48",0.172,0.175694444444444,0.146818181818182,0.182133333333333,1.0698,1.65039285714286,0.229321428571429
"site_112_tree_25",1.27008823529412,0.1498,0.155,0.178,0.14848275862069,0.1451,1.05653846153846
"site_112_tree_1",1.23697058823529,1.443,0.1672,0.1235,0.142137931034483,0.167566666666667,0.103153846153846
"site_112_tree_7",0.150117647058824,1.260125,1.40207692307692,0.19075,0.146068965517241,0.144566666666667,0.153769230769231
"site_112_tree_10",0.169911764705882,0.223125,1.17069230769231,1.59543333333333,0.145793103448276,0.178533333333333,0.101461538461538
"site_112_tree_18",0.149794117647059,0.151625,0.192230769230769,1.2372,1.7342,0.162033333333333,0.148076923076923
"site_112_tree_19",0.166647058823529,0.214,0.128692307692308,0.190133333333333,1.6337,1.1258,0.120692307692308
"site_112_tree_21N",0.144970588235294,0.152375,0.168,0.158066666666667,0.208366666666667,1.21403333333333,0.9576
"site_112_tree_21M",1.44443333333333,0.150375,0.148384615384615,0.204466666666667,0.199866666666667,0.137733333333333,1.0837
"site_112_tree_39",1.29236666666667,1.4408,0.170153846153846,0.160033333333333,0.205233333333333,0.163633333333333,0.1361
"site_112_tree_70",0.188066666666667,1.2395,1.3465,0.1624,0.2048,0.135433333333333,0.1523
"site_112_tree_101",0.163866666666667,0.1914,1.0565,1.2391724137931,0.2487,0.169733333333333,0.1165
"site_112_tree_106",0.182133333333333,0.1688,0.1695,1.03951724137931,1.10726666666667,0.1461,0.1426
"site_112_tree_119",0.156866666666667,0.1871,0.1225,0.136931034482759,1.23396666666667,1.04769230769231,0.0975
"site_113_tree_38",1.23128571428571,0.18345,0.1996,0.174433333333333,1.08653333333333,0.168833333333333,0.191666666666667
"site_113_tree_43",1.18657142857143,0.16485,0.15256,1.6411,0.147,0.140833333333333,0.200166666666667
"site_113_tree_70",0.144,0.1729,0.16708,1.2823,0.152633333333333,0.143666666666667,1.64785
"site_113_tree_32",0.169333333333333,0.16455,1.45866666666667,0.2091,0.154366666666667,0.144333333333333,1.6196
"site_113_tree_50",0.14747619047619,0.14165,1.16713333333333,0.1483,0.150433333333333,1.49676666666667,0.20475
"site_113_tree_55",0.161333333333333,1.52452,0.1867,0.2329,0.1457,1.4347,0.2044
"site_113_tree_59A",0.122809523809524,1.29176,0.135033333333333,0.1451,1.18783333333333,0.178833333333333,0.2025
"site_113_tree_77",1.36855,0.20552,0.181233333333333,0.1637,1.0305,0.179033333333333,0.20045
"site_113_tree_312R",1.26955,0.16576,0.1496,1.3459,0.130666666666667,0.174333333333333,0.24505
"site_119_tree_13",1.21915789473684,1.18442105263158,0.141421052631579,0.170210526315789,0.143684210526316,0.162842105263158,0.123789473684211
"site_158_tree_1",1.46225,0.202,0.165789473684211,1.29434615384615,0.146461538461538,0.191608695652174,0.183285714285714
"site_158_tree_2",1.24475,0.146,0.154315789473684,0.189538461538462,1.41721739130435,0.14595652173913,0.134333333333333
"site_158_tree_7A",0.1565,1.20789473684211,0.153210526315789,0.163269230769231,1.22869565217391,0.158434782608696,0.174952380952381
"site_158_tree_43",0.20025,1.19373684210526,0.127315789473684,0.180923076923077,0.201869565217391,1.43147619047619,0.15352380952381
"site_158_tree_53",0.14025,0.146105263157895,1.45346153846154,0.158461538461538,0.150434782608696,1.13319047619048,0.175380952380952
"site_172_tree_5B",1.215,1.2796,1.28575,1.47218181818182,1.44129166666667,1.395,1.55645714285714
"site_172_tree_1",1.10641666666667,1.2924,1.23425,1.29945454545455,1.22825,1.119,1.22188571428571
"site_172_tree_15B",0.125166666666667,0.1705,0.166125,0.196181818181818,0.204208333333333,0.180875,0.183457142857143
"site_172_tree_13",0.171666666666667,0.1681,0.1505,0.165545454545455,0.146,0.14325,0.161285714285714
"site_172_tree_20",0.122166666666667,0.1839,0.167875,0.186272727272727,0.189083333333333,0.164625,0.197285714285714
"site_172_tree_9",0.16625,0.154,0.147625,0.158909090909091,0.1465,0.160375,0.162657142857143
"site_172_tree_31",0.128666666666667,0.1256,0.146125,0.145863636363636,0.166125,0.181375,0.16
